created_at,id,full_text,is_quote_status,retweet_count,favorite_count,user.id,user.name,user.screen_name,user.location,user.followers_count,user.friends_count,user.listed_count,user.verified,user.statuses_count
2021-10-23 21:00:21+00:00,1452017070556778500,"It isn’t too late to sign up for the final Healthy on the Hudson workout of the season! 💪  Finish October off strong with next Wednesday’s HIIT class at #HRPK’s Pier 46. To register for the @lululemon-powered fitness series, visit https://t.co/1dZWoIme6g. https://t.co/MyuPLTgMWB",False,0,8,38237330,Hudson River Park,HudsonRiverPark,"New York, NY",11992,514,402,True,9072
2021-10-23 21:46:14+00:00,1452028618390089700,"Damn @lululemon - only Nurses and MDs count as First Responders & Healthcare workers?!? So screw all the PAs, DOs, NPs…??? Congrats on being a 🤬-tty company #lululemonathletica",False,0,0,353421027,Daniel Y,TragicHero628,"Columbia, MO",25,213,1,False,1274
2021-10-23 22:19:25+00:00,1452036966803857400,An hour on hold for GEC @lululemon I’m not sure these leggings are worth it ugh,False,0,0,17136943,Anita Rovsek,shopsugartoes,newport beach,136,377,2,False,656
2021-10-23 21:33:59+00:00,1452025534985105400,So….when did @lululemon stop repairing holes?!? 🥺,False,0,7,105408585,"Victoria Hayward, OLY",VictoriaHayward,"San Diego, CA",3280,587,45,True,5982
2021-10-23 23:32:56+00:00,1452055467597787100,@lululemon @Gap @GapInc Looks like @fabletics_men get it,False,0,0,876518639658086400,🐎 Holtaway Design,HoltawayDesign,"San Rafael, California",170,154,2,False,4587
2021-10-23 22:49:36+00:00,1452044563095318500,@elsegundopd But allowing blatant crime is OK. @lululemon El Segundo robbed today by thieves in ski masks. @GavinNewsom @ABC7 @ABC7Veronica,False,0,0,274050746,✌🏼LetsGoBrandon,LetsGoBrandon02,,134,335,1,False,2766
2021-10-23 22:39:54+00:00,1452042122077487000,@lululemon Your store in El Segundo CA was robbed today by thieves in ski masks. Let’s Go Brandon. @ABC7,False,0,1,274050746,✌🏼LetsGoBrandon,LetsGoBrandon02,,134,335,1,False,2766
2021-10-24 00:18:26+00:00,1452066918496710700,@VictoriaHayward @lululemon Wait. What.,False,0,0,42898159,Kristyn Sandberg,KSandberg23,"Island Park, NY",5510,2248,47,False,20847
2021-10-23 23:01:16+00:00,1452047499154399200,@sundevil_grad @lululemon Yes indeed!,False,0,0,305266105,Kim C Williams,KimCville,,550,298,10,False,11752
2021-10-24 01:50:37+00:00,1452090120216080400,@Sportsnet @MapleLeafs Were they sponsored by @lululemon ? Those are some tight pants. Loosen up boys!,False,0,0,51251785,cheeseburger Jesus🇨🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿,Rampant77,,315,1339,1,False,6264
2021-10-24 01:55:52+00:00,1452091440209793000,@VictoriaHayward @lululemon Really?!?!,False,0,1,276112794,Gwen Svekis,gsvekis21,"Omaha, NE",3797,856,28,False,21777
2021-10-24 04:13:53+00:00,1452126173232828400,"@lululemon don’t you find it insulting that your “healthcare worker discount”doesn’t apply to every other healthcare worker unless you’re an MD or RN. Pharmacists are doctors too. PA’s, assistants & etc are frontline of the pandemic as well.. 🤷🏽‍♀️",False,0,5,955446850689040400,nadine darwish,darwishnadine95,United States,357,287,0,False,5581
2021-10-24 03:17:39+00:00,1452112022238281700,"Victorian steampunk, but #AlwaysBeComfortable & also make it ✨f ã $ h ī ó ņ✨ . . . thanks, @spirithalloween & @lululemon 😌😌😌 . . . #VictorianSteampunk #costume #Halloween #Halloweencostume https://t.co/mc3RKl3See",False,0,0,742294694,Kevin Tyler Bautista,ktbautista1,"Chicago, IL",263,777,16,False,29697
2021-10-24 03:41:34+00:00,1452118041542725600,ok what the @lululemon align tank is doing for the girls is nothing short of incredible,False,2,4,392443523,tree daddy,mossgorlx,Treaty 1 ,369,237,3,False,5577
2021-10-24 02:18:04+00:00,1452097028268327000,"Me, rationalizing my newest @lululemon purchases #survival https://t.co/HyXHCxBubC",True,0,2,14584991,Jenessa,jenessa_love,,292,634,6,False,1779
2021-10-24 02:41:12+00:00,1452102847361917000,@lululemon I had a zipper come completely off of the tracks of a jacket I own. Can I take it to the store for repair? What do I do?,False,0,0,189692229,Katy Robbins,katyrobbins,"Detroit, MI",339,992,5,False,14954
2021-10-24 02:49:57+00:00,1452105051019825200,@VictoriaHayward @lululemon Blasphemy!,False,0,0,317614854,Sahvanna Jaquish,SahvannaJay,,7508,666,22,False,5075
2021-10-24 12:47:43+00:00,1452255482337452000,"Early training with @hagaamy ‘s husband on the Austin river trails.  Positive start to a big day👍 @lululemon @hoka @arunningexperienceclub @tribelongbeach @spring_energy @ Austin, Texas https://t.co/ftk0xC78xd",False,0,2,40960244,Barry Vince,barryv31,"Long Beach, CA",4348,655,7,False,5597
2021-10-24 08:29:11+00:00,1452190422533562400,@lululemon’s customer service is absolutely garbage. does anyone work at lulu anymore?! Because I sent an email a week ago with no response. I’ve sent three follow ups. No response. Wtf is going on?,False,0,0,323337190,Katie,ktierney47,"New York, NY",20,288,2,False,3470
2021-10-24 09:34:40+00:00,1452206902478348300,@calvinmcdonald @lululemon PAs and dozens of other healthcare workers do not qualify for your healthcare discount… #FrontlineWorker #HealthcareHeroes #healthcareworkers #Physicianassistant,False,0,0,1458485869,Matt R,Mattrodzz,,28,78,0,False,20
2021-10-24 13:42:23+00:00,1452269241504239600,.@lululemon please make commitments to switch to renewable energy in your supply chain. Your our brand has scored a “D-” in https://t.co/3Tnn52vjgH’s Fossil-Free Fashion Scorecard for your sustainability efforts.,False,0,0,91187588,Peter Marinelli,pmarinelli04,,53,222,0,False,8929
2021-10-24 13:01:22+00:00,1452258917292159000,.@lululemon puts their money where their mental health is: Pledges $75 million to wellbeing programs https://t.co/p80siG8OCF @SXMMarketing @Wharton,False,1,4,851561821,Dr. Americus Reed II,amreed2,"Philadelphia, PA",3374,204,98,True,8903
2021-10-24 14:35:42+00:00,1452282658994757600,RT @mossgorlx: ok what the @lululemon align tank is doing for the girls is nothing short of incredible,False,2,0,38966029,Justine Bea,justinebaltazar,,339,165,0,False,5205
2021-10-24 16:50:46+00:00,1452316648040550400,@jbrew_22 @lululemon *hears heart shatter on floor @lululemon,False,0,1,167372564,Ally Branham,Allybranham,"Kentucky, USA",881,635,1,False,9605
2021-10-24 16:36:59+00:00,1452313182027059200,"@jenessa_love @lululemon Right now, as a nurse, you should get free @lululemon!!!",False,0,0,404599011,Tanis,TanisS_14,,593,1303,9,False,12479
2021-10-24 15:50:52+00:00,1452301574097850400,Hi @lululemon why do only Doctors and Nurses qualify for your new healthcare discount and not Physician Assistant and Nurse Practitioners??,False,0,2,450955068,Jordan,jbrew_22,"Almost Heaven, WV",735,535,12,False,20930
2021-10-24 16:15:40+00:00,1452307814643294200,@PRic508 @Ravens I see you in that Lululemon fit 👌🏼 @lululemon,False,0,0,870308758597095400,Marc Lasater,MarcLasater,"Dallas, TX",28,97,0,False,1197
2021-10-24 17:56:11+00:00,1452333112495681500,.@lululemon is not elevating anything with its coal-powered yoga pants and D- worthy climate plans. Email its top executives & tell them burning fossil fuels is not part of your mindful living or a mindful planet. https://t.co/yVZ733aEOy,False,0,1,96669003,Robyn Reichert,scooo1,lake worth,146,537,14,False,12223
2021-10-24 18:39:00+00:00,1452343888144896000,"Bought a pair of 9’ shorts because they were the only ones left & some guy also was looking for a similar camodesign (at @lululemon athletica in Buffalo, NY) https://t.co/mVvzpDV8c9",False,0,0,3818771,Vinny,mjvinny,Western NY & Others,141,76,15,False,14192
